data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
"30/11/2022";"22:30:00";"192";"AC03-ACIDE";"403";"BR-163/PA";"Sul";"Colisão Lateral";1;0;1;0;0;0;0;0;0;0;4;0;0;0;0
"01/12/2022";"07:33:00";"46";"AC03-ACIDE";"1127,9";"BR-230/PA";"Leste";"Colisão Traseira";0;0;2;0;0;1;0;0;0;0;2;0;0;0;0
"01/12/2022";"13:56:00";"135";"AC03-ACIDE";"238";"BR-163/PA";"Sul";"Saida de Pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"01/12/2022";"18:32:00";"178";"AC03-ACIDE";"1035,00";"BR-163/MT";"Norte";"Colisão Traseira";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"02/12/2022";"00:20:00";"6";"AC02-ACIDE";"514";"BR-163/PA";"Sul";"Saida de Pista";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"02/12/2022";"21:28:00";"224";"AC03-ACIDE";"1033,78";"BR-163/MT";"Sul";"Engavetamento";4;0;0;0;0;0;0;0;0;0;4;0;0;0;0
"03/12/2022";"06:13:00";"32";"AC03-ACIDE";"1030,33";"BR-163/MT";"Sul";"Colisão Lateral";1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"03/12/2022";"13:05:00";"126";"AC02-ACIDE";"939";"BR-163/MT";"Norte";"Queda de Moto";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"03/12/2022";"16:30:00";"166";"AC03-ACIDE";"444,994";"BR-163/PA";"Norte";"Colisão Traseira";0;0;1;0;0;1;0;0;0;0;1;0;0;0;0
"03/12/2022";"19:01:00";"180";"AC02-ACIDE";"264";"BR-163/PA";"Norte";"Choque - Veiculo parado no acostamento";1;0;0;0;0;1;0;0;0;1;2;0;1;0;0
"03/12/2022";"20:21:00";"188";"AC03-ACIDE";"240";"BR-163/PA";"Sul";"Colisão Lateral";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"04/12/2022";"06:25:00";"30";"AC03-ACIDE";"157";"BR-163/PA";"Sul";"Colisão Lateral";1;0;0;0;0;1;0;0;0;0;2;0;0;0;0
"04/12/2022";"21:45:00";"166";"AC03-ACIDE";"317,74";"BR-163/PA";"Sul";"Saida de Pista";0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
"05/12/2022";"13:13:00";"146";"AC03-ACIDE";"1035";"BR-163/MT";"Norte";"Colisão Traseira";0;0;0;0;1;0;0;0;0;1;26;0;0;0;0
"05/12/2022";"18:46:00";"191";"AC02-ACIDE";"274";"BR-163/PA";"Norte";"Queda de Moto";0;0;0;1;0;0;0;0;0;0;0;1;1;0;0
"05/12/2022";"23:21:00";"211";"AC02-ACIDE";"909,63";"BR-163/MT";"Norte";"Tombamento";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"06/12/2022";"05:40:00";"21";"AC02-ACIDE";"624,25";"BR-163/PA";"Sul";"Queda de Moto";0;0;0;1;0;0;0;0;0;0;1;1;0;0;0
"06/12/2022";"13:25:00";"144";"AC03-ACIDE";"417,401";"BR-163/PA";"Norte";"Tombamento";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"06/12/2022";"17:00:00";"187";"AC03-ACIDE";"1033,92";"BR-163/MT";"Norte";"Choque - Veiculo parado na pista";0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
"07/12/2022";"03:22:00";"27";"AC02-ACIDE";"1102,44";"BR-230/PA";"Leste";"Saida de Pista";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"07/12/2022";"11:11:00";"107";"AC03-ACIDE";"897";"BR-163/MT";"Norte";"Choque - Defensa, barreira ou meio fio";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"07/12/2022";"16:55:00";"184";"AC03-ACIDE";"326,083";"BR-163/PA";"Sul";"Choque - Obstáculo Fixo";0;0;0;1;0;0;0;0;0;1;2;0;0;0;0
"07/12/2022";"17:41:00";"195";"AC03-ACIDE";"881,985";"BR-163/MT";"Sul";"Capotamento";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"08/12/2022";"10:57:00";"103";"AC03-ACIDE";"1010,02";"BR-163/MT";"Norte";"Colisão Traseira";0;0;1;0;0;1;0;0;0;0;1;0;0;0;0
"08/12/2022";"12:30:00";"108";"AC03-ACIDE";"887,899";"BR-163/MT";"Sul";"Capotamento";0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"08/12/2022";"13:33:00";"112";"AC02-ACIDE";"893";"BR-163/MT";"Sul";"Colisão Frontal";0;0;2;0;0;1;0;0;0;0;1;0;1;1;0
"08/12/2022";"18:15:00";"152";"AC02-ACIDE";"344";"BR-163/PA";"Norte";"Colisão Traseira";0;0;0;1;0;1;0;0;0;0;1;0;1;0;0
"09/12/2022";"08:17:00";"59";"AC03-ACIDE";"953,3";"BR-163/MT";"Norte";"Colisão Lateral";1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"09/12/2022";"08:17:00";"93";"AC03-ACIDE";"956";"BR-163/MT";"Norte";"Colisão Frontal";1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"09/12/2022";"09:31:00";"89";"AC03-ACIDE";"973,969";"BR-163/MT";"Norte";"Colisão Traseira";2;0;0;0;0;1;0;0;0;0;4;0;0;0;0
"09/12/2022";"12:46:00";"127";"AC02-ACIDE";"135,42";"BR-163/PA";"Norte";"Colisão Traseira";0;0;2;0;0;0;0;0;0;0;1;1;0;0;0
"09/12/2022";"14:32:00";"142";"AC03-ACIDE";"585";"BR-163/PA";"Norte";"Tombamento";0;0;0;0;0;1;0;0;0;1;1;0;0;0;0
"09/12/2022";"20:46:00";"189";"AC03-ACIDE";"200,587";"BR-163/PA";"Sul";"Tombamento";0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"09/12/2022";"22:06:00";"198";"AC01-ACIDE";"1115,18";"BR-230/PA";"Leste";"Colisão Lateral";0;0;0;1;0;1;0;0;0;0;1;0;0;0;2
"10/12/2022";"10:59:00";"111";"AC02-ACIDE";"1032,13";"BR-163/MT";"Sul";"Colisão Frontal";0;0;0;1;0;0;0;0;0;1;1;1;0;0;0
"10/12/2022";"14:15:00";"148";"AC03-ACIDE";"432,66";"BR-163/PA";"Norte";"Tombamento";0;0;1;0;0;1;0;0;0;0;2;0;0;0;0
"10/12/2022";"14:49:00";"158";"AC02-ACIDE";"320";"BR-163/PA";"Norte";"Colisão Lateral";0;0;0;1;0;1;0;0;0;0;1;0;1;0;0
"10/12/2022";"15:00:00";"162";"AC03-ACIDE";"892,8";"BR-163/MT";"Norte";"Colisão Traseira";1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"10/12/2022";"18:35:00";"190";"AC01-ACIDE";"589";"BR-163/PA";"Sul";"Colisão Frontal";0;0;2;0;0;0;0;0;0;0;0;0;0;1;1
"10/12/2022";"19:46:00";"195";"AC03-ACIDE";"1114,01";"BR-230/PA";"Oeste";"Tombamento";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"11/12/2022";"03:09:00";"26";"AC02-ACIDE";"308";"BR-163/PA";"Norte";"Queda de Moto";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"11/12/2022";"09:08:00";"104";"AC02-ACIDE";"208,42";"BR-163/PA";"Norte";"Colisão Frontal";0;0;3;0;0;0;0;0;0;0;2;3;0;0;0
"11/12/2022";"12:15:00";"132";"AC02-ACIDE";"1113";"BR-230/PA";"Oeste";"Colisão Lateral";0;0;2;0;0;0;0;0;0;0;1;2;1;0;0
"11/12/2022";"22:34:00";"221";"AC03-ACIDE";"1033";"BR-163/MT";"Sul";"Colisão Lateral";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"12/12/2022";"14:10:00";"128";"AC01-ACIDE";"35,952";"BR-163/PA";"Norte";"Choque - Veiculo parado no acostamento";0;0;2;0;0;2;0;0;0;1;4;0;1;0;1
"13/12/2022";"08:04:00";"61";"AC03-ACIDE";"423,371";"BR-163/PA";"Norte";"Tombamento";0;0;1;0;0;1;0;0;0;0;1;0;0;0;0
"13/12/2022";"08:51:00";"75";"AC03-ACIDE";"652,871";"BR-163/PA";"Norte";"Tombamento";0;0;1;0;0;1;0;0;0;0;1;0;0;0;0
"13/12/2022";"09:57:00";"94";"AC03-ACIDE";"656,396";"BR-163/PA";"Sul";"Saida de Pista";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"13/12/2022";"19:10:00";"153";"AC03-ACIDE";"951";"BR-163/MT";"Norte";"Colisão Traseira";0;0;1;0;0;1;0;0;0;0;1;0;0;0;0
"14/12/2022";"06:23:00";"24";"AC02-ACIDE";"440,661";"BR-163/PA";"Sul";"Tombamento";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"14/12/2022";"08:35:00";"48";"AC03-ACIDE";"1036";"BR-163/MT";"Sul";"Saida de Pista";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"14/12/2022";"10:50:00";"73";"AC03-ACIDE";"1035,05";"BR-163/MT";"Sul";"Colisão Traseira";0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
"14/12/2022";"13:09:00";"90";"AC03-ACIDE";"652";"BR-163/PA";"Sul";"Tombamento";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"14/12/2022";"13:40:00";"99";"AC03-ACIDE";"263";"BR-163/PA";"Norte";"Tombamento";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"14/12/2022";"14:11:00";"114";"AC02-ACIDE";"1013";"BR-163/MT";"Norte";"Colisão Traseira";1;0;1;0;0;0;0;0;0;0;1;1;0;0;0
"14/12/2022";"15:41:00";"128";"AC03-ACIDE";"1025,5";"BR-163/MT";"Sul";"Colisão Traseira";1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"14/12/2022";"15:45:00";"130";"AC02-ACIDE";"42,587";"BR-163/PA";"Norte";"Choque - Veiculo parado na pista";0;0;2;0;0;1;0;0;0;0;1;1;0;0;0
"14/12/2022";"19:52:00";"154";"AC02-ACIDE";"1062,49";"BR-163/MT";"Sul";"Colisão Traseira";2;0;0;0;0;0;0;0;0;0;0;2;0;0;0
"15/12/2022";"00:40:00";"5";"AC03-ACIDE";"1126,15";"BR-230/PA";"Leste";"Tombamento";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"15/12/2022";"02:04:00";"16";"AC02-ACIDE";"1033,93";"BR-163/MT";"Norte";"Capotamento";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"15/12/2022";"21:19:00";"227";"AC02-ACIDE";"172";"BR-163/PA";"Norte";"Queda de Moto";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"16/12/2022";"20:31:00";"198";"AC03-ACIDE";"955,593";"BR-163/MT";"Sul";"Colisão Lateral";1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"17/12/2022";"03:56:00";"12";"AC02-ACIDE";"104,089";"BR-163/PA";"Sul";"Tombamento";0;0;1;0;0;2;0;0;0;0;2;2;1;0;0
"17/12/2022";"08:03:00";"37";"AC03-ACIDE";"618";"BR-163/PA";"Norte";"Tombamento";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"17/12/2022";"10:24:00";"78";"AC02-ACIDE";"670,276";"BR-163/PA";"Norte";"Saida de Pista";1;0;0;0;0;0;0;0;0;0;3;0;1;0;0
"17/12/2022";"12:41:00";"102";"AC02-ACIDE";"381";"BR-163/PA";"Sul";"Colisão Lateral";0;0;1;0;0;3;0;0;0;1;1;1;0;0;0
"17/12/2022";"18:08:00";"151";"AC02-ACIDE";"926,05";"BR-163/MT";"Sul";"Queda de Moto";0;0;0;1;0;0;0;0;0;0;0;2;0;0;0
