data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
"31/03/2022";"11:44:00";"134";"ac03 - Aci";"126,3";"BR-364/GO";"Oeste";"Colisão Traseira";0;0;1;0;0;0;0;0;0;1;2;0;0;0;0
"31/03/2022";"15:08:00";"185";"ac03 - Aci";"643,05";"BR-365/MG";"Leste";"Choque - Elemento de Drenagem";0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
"01/04/2022";"10:42:00";"132";"ac03 - Aci";"706";"BR-365/MG";"Leste";"Colisão lateral no mesmo sentido";0;0;2;0;0;0;0;0;0;0;3;0;0;0;0
"01/04/2022";"13:27:00";"187";"ac03 - Aci";"645,6";"BR-365/MG";"Leste";"Colisão Traseira";1;0;0;0;0;0;0;0;0;1;4;0;0;0;0
"01/04/2022";"17:57:00";"276";"ac03 - Aci";"5,3";"BR-364/GO";"Leste";"Tombamento";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"01/04/2022";"21:00:00";"332";"ac03 - Aci";"661,5";"BR-365/MG";"Oeste";"Choque - Sinalização";1;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"02/04/2022";"15:21:00";"209";"ac03 - Aci";"718,45";"BR-365/MG";"Leste";"Choque - Sinalização";1;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"02/04/2022";"17:08:00";"251";"ac02 - Aci";"715";"BR-365/MG";"Oeste";"Choque - Sinalização";0;0;0;1;0;0;0;0;0;0;0;2;0;0;0
"02/04/2022";"18:03:00";"265";"ac02 - Aci";"673,1";"BR-365/MG";"Oeste";"Capotamento";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"02/04/2022";"19:42:00";"300";"ac03 - Aci";"706";"BR-365/MG";"Leste";"Choque - Outros";1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"03/04/2022";"05:24:00";"23";"ac01 - Aci";"779,7";"BR-365/MG";"Oeste";"Colisão Frontal";1;0;0;0;0;0;0;0;1;1;0;1;0;0;1
"04/04/2022";"00:03:00";"1";"ac03 - Aci";"173,69";"BR-364/GO";"Oeste";"Choque - Defensa metálica";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"04/04/2022";"08:55:00";"83";"ac03 - Aci";"53,85";"BR-364/GO";"Oeste";"Colisão Transversal";1;0;1;0;0;0;0;0;0;0;5;0;0;0;0
"04/04/2022";"09:11:00";"94";"ac03 - Aci";"182";"BR-364/GO";"Leste";"Colisão Transversal";0;0;1;0;0;0;0;0;0;1;2;0;0;0;0
"05/04/2022";"17:16:00";"216";"ac03 - Aci";"704,35";"BR-365/MG";"Oeste";"Colisão Traseira";1;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"06/04/2022";"09:20:00";"94";"ac03 - Aci";"801,38";"BR-365/MG";"Leste";"Colisão lateral no mesmo sentido";0;0;1;0;0;0;0;0;0;1;4;0;0;0;0
"06/04/2022";"16:17:00";"248";"ac02 - Aci";"833,4";"BR-365/MG";"Oeste";"Capotamento";0;0;0;0;0;0;0;0;0;1;0;1;0;1;0
"06/04/2022";"18:31:00";"286";"ac03 - Aci";"643,8";"BR-365/MG";"Leste";"Choque - Elemento de Drenagem";1;0;0;0;0;0;0;0;0;0;5;0;0;0;0
"06/04/2022";"20:53:00";"325";"ac01 - Aci";"100,35";"BR-364/GO";"Oeste";"Colisão Frontal";1;0;0;0;0;0;0;0;0;1;0;0;0;2;1
"07/04/2022";"06:55:00";"53";"ac02 - Aci";"10,4";"BR-364/GO";"Leste";"Capotamento";1;0;0;0;0;0;0;0;0;0;0;2;0;0;0
"07/04/2022";"15:05:00";"242";"ac02 - Aci";"111,05";"BR-364/GO";"Leste";"Colisão lateral no sentido contrário";0;0;0;1;0;1;0;0;0;0;0;1;0;0;0
"07/04/2022";"20:22:00";"331";"ac03 - Aci";"149";"BR-364/GO";"Leste";"Colisão Traseira";0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
"08/04/2022";"22:32:00";"407";"ac03 - Aci";"691";"BR-365/MG";"Oeste";"Choque - Sinalização";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"09/04/2022";"07:59:00";"76";"ac02 - Aci";"644";"BR-365/MG";"Oeste";"Queda de Ciclista";0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
"09/04/2022";"12:02:00";"194";"ac02 - Aci";"796,8";"BR-365/MG";"Leste";"Queda de Moto";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"09/04/2022";"15:05:00";"246";"ac03 - Aci";"715";"BR-365/MG";"Leste";"Atropelamento de Animal";1;0;0;0;0;0;0;0;0;0;5;0;0;0;0
"09/04/2022";"17:34:00";"304";"ac01 - Aci";"89";"BR-364/GO";"Oeste";"Colisão Transversal";1;0;1;0;0;0;0;0;0;0;1;0;0;0;1
"09/04/2022";"19:29:00";"340";"ac02 - Aci";"866,84";"BR-365/MG";"Leste";"Choque - Talude ou Barranco";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"09/04/2022";"23:25:00";"387";"ac03 - Aci";"791,3";"BR-365/MG";"Leste";"Queda de Moto";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"10/04/2022";"02:39:00";"20";"ac02 - Aci";"749,8";"BR-365/MG";"Oeste";"Choque - Elemento de Drenagem";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
